orderHash,subaccountId,marketId,tradeExecutionType,payout,fee,feeRecipient,tradeId,executionSide,isLiquidation,cid,tradeDirection,executionPrice,executionQuantity,executionMargin,Original_Time,eth_address
0x42011a64368f487cc848d048e5e5f5ffcdad87b03303d25c18d96c3b12d48d47,0xb22f29fa64b0478dac8cca09fd89347d54af97a8000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,90000.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63759429_0,taker,False,,buy,9000000.0,10.0,30454545.4,1711019131689,inj1kghjn7nykprcmtyvegylmzf50422l9agqu78dj
0xa320bf94824c775a557f2080b67b779efb2a0a6653b1fc11fec31d72a1cd4f03,0x4616eb85f9db9266f6ee159dda2d86f0b5fc1e2f000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitMatchNewOrder,0.0,139500.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63765693_1,taker,False,,buy,9000000.0,15.5,69750000.0,1711025608298,inj1gctwhp0emwfxdahwzkwa5tvx7z6lc830st2c5y
0x0c2773a010f8d398523b2b3e07e3a122eea465045df794613d55a879856b01ee,0x31307ef22c77cc89cd7e61246608f15b82d09fed000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitMatchRestingOrder,0.0,-8370.0,inj1q5vx233dm8sgg2mndglmgmzvr8qpcqpp04rus2,63765693_0,maker,False,65deaed5-1daa-44e2-be97-9bf2d19621a2,sell,9000000.0,15.5,55800000.0,1711025608298,inj1xyc8au3vwlxgnnt7vyjxvz83twpdp8lde3qmkg
0xadf3a61d5b354301741840b0ddb5c51a2b1cb19944b567852e0acc122686ae62,0x4616eb85f9db9266f6ee159dda2d86f0b5fc1e2f000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,69594232.66378683,139484.5,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63766272_0,taker,False,,sell,8999000.0,15.5,0.0,1711026197146,inj1gctwhp0emwfxdahwzkwa5tvx7z6lc830st2c5y
0xdadadad50d2d9d654e053ad4463063847d356dcf6464b15c1d4efb4871083992,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-13948.45,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63766272_1,maker,False,,buy,8999000.0,15.5,139540682.41469815,1711026197146,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x10e8683a110c2f1cfed0394b6b27d8785ecdeef9dd1fdf1f0512935bd67685ad,0x4616eb85f9db9266f6ee159dda2d86f0b5fc1e2f000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,0.0,350961.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63766461_0,taker,False,,sell,8999000.0,39.0,129816356.8,1711026395443,inj1gctwhp0emwfxdahwzkwa5tvx7z6lc830st2c5y
0xdadadad50d2d9d654e053ad4463063847d356dcf6464b15c1d4efb4871083992,0xadbce46487a056a56b8819600add44efbd599d57000000000000000000000001,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-35096.1,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf,63766461_1,maker,False,,buy,8999000.0,39.0,351102362.2047244,1711026395443,inj14k7wgey85pt226ugr9sq4h2ya774n82hzy26nf
0x0c2773a010f8d398523b2b3e07e3a122eea465045df794613d55a879856b01ee,0x31307ef22c77cc89cd7e61246608f15b82d09fed000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-21060.0,inj1q5vx233dm8sgg2mndglmgmzvr8qpcqpp04rus2,63767037_1,maker,False,65deaed5-1daa-44e2-be97-9bf2d19621a2,sell,9000000.0,39.0,140400000.0,1711026993391,inj1xyc8au3vwlxgnnt7vyjxvz83twpdp8lde3qmkg
0x58ddbe5e8ba98a0eb58b9efdb1dff5d11ae9f99c9c234b3a3596e3bc46528b6b,0x4616eb85f9db9266f6ee159dda2d86f0b5fc1e2f000000000000000000000000,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,market,129426356.8,351000.0,inj1zyg3zyg3zyg3zyg3zyg3zyg3zyg3zyg3t5qxqh,63767037_0,taker,False,,buy,9000000.0,39.0,0.0,1711026993391,inj1gctwhp0emwfxdahwzkwa5tvx7z6lc830st2c5y
0x0c2773a010f8d398523b2b3e07e3a122eea465045df794613d55a879856b01ee,0x31307ef22c77cc89cd7e61246608f15b82d09fed000000000000000000000002,0x7a70d95e24ba42b99a30121e6a4ff0d6161847d5b86cbfc3d4b3a81d8e190a70,limitFill,0.0,-1836.0,inj1q5vx233dm8sgg2mndglmgmzvr8qpcqpp04rus2,63778981_1,maker,False,65deaed5-1daa-44e2-be97-9bf2d19621a2,sell,9000000.0,3.4,12240000.0,1711039932966,inj1xyc8au3vwlxgnnt7vyjxvz83twpdp8lde3qmkg
